id,dim_1,dim_2,dim_3,box_type,price_25,price_100,price_250,price_500,price_1000
S-19825,24.0,24.0,28.0,200 lb. Test,9.21,8.5,7.96,7.39,6.74
S-19870,12.0,30.0,36.0,200 lb. Test,9.34,8.73,8.15,7.56,7.39
S-16776,20.0,30.0,30.0,200 lb. Test,9.48,8.76,8.4,7.57,7.28
S-16778,12.0,32.0,32.0,200 lb. Test,9.48,8.84,8.29,7.66,7.55
S-4572,24.0,24.0,30.0,200 lb. Test,9.55,8.79,8.28,7.66,7.01
S-4433,28.0,28.0,28.0,200 lb. Test,9.7,8.95,8.4,8.19,7.75
S-4659,24.0,24.0,36.0,200 lb. Test,9.76,9.09,8.5,7.93,7.28
S-22182,26.0,26.0,36.0,200 lb. Test,10.92,10.15,9.48,8.85,8.12
S-4435,34.0,34.0,34.0,200 lb. Test,11.0,11.0,11.0,11.0,11.0
S-4366,30.0,30.0,30.0,200 lb. Test,11.16,10.27,9.65,9.42,8.89
S-4193,36.0,36.0,36.0,200 lb. Test,11.16,11.16,11.16,11.16,11.16
S-4457,18.0,36.0,36.0,200 lb. Test,12.74,12.08,11.29,10.48,9.99
S-16766,30.0,30.0,40.0,200 lb. Test,14.54,13.79,13.02,12.3,11.55
