id,dim_1,dim_2,dim_3,box_type,price_25,price_100,price_250,price_500,price_1000
S-25904,4.0,10.0,36.0,200 lb. Test,2.62,2.46,2.24,2.14,2.03
S-4897,12.0,16.0,18.0,200 lb. Test,2.64,2.46,2.27,2.1,1.99
S-4541,4.0,18.0,18.0,200 lb. Test,2.64,2.46,2.35,2.17,2.07
S-4905,6.0,14.0,24.0,200 lb. Test,2.64,2.43,2.27,2.14,1.99
S-13300,14.0,14.0,16.0,200 lb. Test,2.65,2.44,2.19,2.08,1.96
S-4821,4.0,16.0,20.0,200 lb. Test,2.68,2.5,2.31,2.17,2.06
S-12605,8.0,14.0,22.0,200 lb. Test,2.68,2.5,2.31,2.19,2.08
S-4654,14.0,14.0,24.0,200 lb. Test,2.68,2.68,2.68,2.68,2.68
S-4162,12.0,16.0,24.0,200 lb. Test,2.68,2.68,2.68,2.68,2.68
S-4196,10.0,14.0,20.0,200 lb. Test,2.69,2.47,2.31,2.19,1.96
S-4159,12.0,12.0,22.0,200 lb. Test,2.69,2.54,2.4,2.24,2.1
S-18428,6.0,10.0,36.0,200 lb. Test,2.69,2.52,2.3,2.2,2.08
S-4185,18.0,18.0,18.0,200 lb. Test,2.7,2.7,2.7,2.7,2.7
S-19093,4.0,18.0,20.0,200 lb. Test,2.72,2.54,2.4,2.24,2.13
S-21047,4.0,16.0,22.0,200 lb. Test,2.72,2.53,2.4,2.26,2.07
S-4210,12.0,20.0,20.0,200 lb. Test,2.73,2.73,2.73,2.73,2.73
S-4946,6.0,12.0,28.0,200 lb. Test,2.76,2.54,2.4,2.23,2.04
S-4902,6.0,16.0,20.0,200 lb. Test,2.77,2.59,2.44,2.27,2.14
S-13320,10.0,14.0,22.0,200 lb. Test,2.77,2.58,2.44,2.27,2.13
S-21048,4.0,18.0,22.0,200 lb. Test,2.77,2.64,2.47,2.34,2.19
S-4844,10.0,10.0,26.0,200 lb. Test,2.77,2.58,2.4,2.23,2.06
S-4672,10.0,10.0,36.0,200 lb. Test,2.77,2.59,2.4,2.29,2.14
S-4855,14.0,14.0,18.0,200 lb. Test,2.8,2.54,2.31,2.17,2.09
S-20497,6.0,16.0,22.0,200 lb. Test,2.8,2.63,2.47,2.29,2.09
S-4903,6.0,18.0,20.0,200 lb. Test,2.83,2.66,2.5,2.31,2.23
S-4735,6.0,18.0,22.0,200 lb. Test,2.84,2.68,2.52,2.4,2.24
S-4643,8.0,16.0,20.0,200 lb. Test,2.85,2.68,2.5,2.31,2.19
S-18374,10.0,10.0,28.0,200 lb. Test,2.85,2.65,2.46,2.29,2.1
S-4450,4.0,24.0,24.0,200 lb. Test,2.86,2.86,2.86,2.86,2.86
S-18379,10.0,10.0,32.0,200 lb. Test,2.88,2.66,2.5,2.39,2.16
S-4184,10.0,16.0,18.0,200 lb. Test,2.89,2.59,2.4,2.24,2.08
S-4503,8.0,14.0,24.0,200 lb. Test,2.89,2.69,2.52,2.31,2.23
S-4218,16.0,16.0,24.0,200 lb. Test,2.92,2.92,2.92,2.92,2.92
S-18361,8.0,16.0,22.0,200 lb. Test,2.93,2.72,2.58,2.39,2.2
S-4504,6.0,16.0,24.0,200 lb. Test,2.93,2.75,2.64,2.4,2.27
S-22631,6.0,6.0,42.0,200 lb. Test,2.95,2.65,2.43,2.29,2.13
S-14273,14.0,14.0,20.0,200 lb. Test,2.97,2.69,2.52,2.3,2.23
S-4238,14.0,16.0,18.0,200 lb. Test,2.99,2.84,2.68,2.52,2.4
S-4239,8.0,18.0,18.0,200 lb. Test,2.99,2.84,2.68,2.52,2.4
S-4644,10.0,16.0,20.0,200 lb. Test,2.99,2.84,2.65,2.58,2.47
S-19848,12.0,16.0,20.0,200 lb. Test,3.02,2.84,2.68,2.54,2.39
S-4416,6.0,18.0,24.0,200 lb. Test,3.02,2.77,2.68,2.43,2.3
S-23980,12.0,18.0,20.0,200 lb. Test,3.05,2.83,2.66,2.53,2.42
S-4738,10.0,14.0,24.0,200 lb. Test,3.07,2.85,2.68,2.46,2.29
S-16782,8.0,12.0,28.0,200 lb. Test,3.07,2.85,2.66,2.5,2.23
S-4753,10.0,10.0,38.0,200 lb. Test,3.13,2.93,2.75,2.59,2.47
